#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10051546, 0.10159596, 0.89743590, 0.76923077, 0.75000000, 0.80000000, 0.90476190, 0.88888889
1, 0.03978361, 0.03132315, 0.89743590, 0.76923077, 0.75000000, 0.80000000, 0.90476190, 0.88888889
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10130063, 0.10033824, 0.87179487, 0.61538462, 0.85714286, 0.33333333, 0.86363636, 0.88235294
1, 0.04263794, 0.02969343, 0.87179487, 0.76923077, 1.00000000, 0.50000000, 0.86363636, 0.88235294
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10159423, 0.10334103, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
1, 0.04156560, 0.02778644, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10026854, 0.10106551, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
1, 0.03576462, 0.03725941, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
