#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F
1, 0.05803387, 0.03965104, 0.40860838, 0.56456283, 0.39722061, 0.26404169
2, 0.02580208, 0.03609234, 0.40938043, 0.56398379, 0.39316734, 0.27099016
3, 0.02344668, 0.03373325, 0.41131056, 0.56282571, 0.39316734, 0.27793862
4, 0.02085563, 0.03090918, 0.40378305, 0.55587724, 0.38390272, 0.27156920
5, 0.01769326, 0.02759452, 0.40822235, 0.55240301, 0.39953677, 0.27272727
6, 0.01557819, 0.02414387, 0.40667825, 0.55761436, 0.39953677, 0.26288361
7, 0.01334597, 0.02132900, 0.40976645, 0.55240301, 0.40474812, 0.27214823
8, 0.01248778, 0.01964773, 0.41131056, 0.54719166, 0.41285466, 0.27388535
9, 0.01204710, 0.01846945, 0.41304767, 0.54950782, 0.40822235, 0.28141285
10, 0.01176978, 0.01891194, 0.40822235, 0.54950782, 0.40127389, 0.27388535
11, 0.01083870, 0.01638645, 0.40609921, 0.55008686, 0.40416908, 0.26404169
12, 0.01025247, 0.01646718, 0.40532716, 0.55008686, 0.40243196, 0.26346265
13, 0.01043324, 0.01818423, 0.40552017, 0.54603358, 0.40474812, 0.26577881
14, 0.01019624, 0.01691120, 0.40976645, 0.54198031, 0.41864505, 0.26867400
15, 0.01058608, 0.01762741, 0.41324069, 0.54892878, 0.41111754, 0.27967574
16, 0.01010962, 0.01632690, 0.40552017, 0.54082224, 0.40590620, 0.26983208
17, 0.00994852, 0.01396901, 0.40088786, 0.53329473, 0.40706427, 0.26230457
18, 0.00961272, 0.01668888, 0.40571318, 0.53676896, 0.40590620, 0.27446439
19, 0.00974426, 0.01782534, 0.41497780, 0.54892878, 0.40764331, 0.28836132
20, 0.00967558, 0.01719724, 0.41748697, 0.55703532, 0.40880139, 0.28662420
21, 0.00975656, 0.01741890, 0.41748697, 0.55008686, 0.41690793, 0.28546613
22, 0.00985358, 0.01666892, 0.41478479, 0.55414013, 0.40185292, 0.28836132
23, 0.01008152, 0.01640986, 0.40957344, 0.54198031, 0.40822235, 0.27851766
24, 0.00936290, 0.01589562, 0.41073152, 0.55124493, 0.40474812, 0.27620151
