accuracy	true_label	vote_label	correct_vote
0.8275862068965517	1	1	True
0.7872340425531915	1	1	True
0.5	1	1	True
0.8913043478260869	1	1	True
0.7857142857142857	1	1	True
0.9069767441860465	1	1	True
0.7	1	1	True
0.6666666666666666	1	1	True
0.6122448979591837	1	1	True
0.7567567567567568	1	1	True
0.8125	1	1	True
0.9534883720930233	1	1	True
0.9387755102040817	1	1	True
0.875	1	1	True
0.7777777777777778	1	1	True
0.7666666666666667	1	1	True
0.703125	1	1	True
0.875	1	1	True
0.7954545454545454	1	1	True
0.8913043478260869	0	0	True
0.8703703703703703	0	0	True
0.9423076923076923	0	0	True
0.8148148148148148	0	0	True
0.3877551020408163	0	2	False
0.5490196078431373	0	0	True
0.8888888888888888	0	0	True
0.9387755102040817	0	0	True
0.5652173913043478	0	0	True
0.8048780487804879	0	0	True
0.9772727272727273	0	0	True
0.9636363636363636	0	0	True
0.9574468085106383	0	0	True
0.9318181818181818	0	0	True
0.8297872340425532	0	0	True
0.6285714285714286	1	1	True
0.9583333333333334	0	0	True
0.46808510638297873	0	0	True
0.9615384615384616	0	0	True
1.0	0	0	True
0.7924528301886793	2	2	True
0.796875	2	2	True
0.9354838709677419	2	2	True
0.7941176470588235	1	1	True
0.8936170212765957	2	2	True
0.7903225806451613	2	2	True
0.8279569892473119	2	2	True
0.9629629629629629	2	2	True
0.7619047619047619	2	2	True
0.6829268292682927	1	1	True
0.8974358974358975	2	2	True
0.5714285714285714	2	2	True
0.7692307692307693	2	2	True
0.8113207547169812	2	2	True
0.9473684210526315	2	2	True
0.5833333333333334	2	2	True
0.6875	1	1	True
