#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F
1, 0.06282714, 0.03903007, 0.41175227, 0.58782498, 0.40710209, 0.24032974
2, 0.02465725, 0.03334655, 0.41238639, 0.59733672, 0.40012682, 0.23969562
3, 0.01971082, 0.03093973, 0.41386599, 0.59480025, 0.40837032, 0.23842739
4, 0.01560960, 0.02667286, 0.41175227, 0.59543437, 0.40519975, 0.23462270
5, 0.01312899, 0.02234761, 0.40773621, 0.58275206, 0.39759036, 0.24286620
6, 0.01227682, 0.02128918, 0.41280913, 0.59543437, 0.40139505, 0.24159797
7, 0.01161893, 0.02033875, 0.40837032, 0.59543437, 0.38744451, 0.24223209
8, 0.01082915, 0.01987326, 0.41090679, 0.59670260, 0.39188332, 0.24413443
9, 0.01068613, 0.02036905, 0.40900444, 0.59543437, 0.39061509, 0.24096386
10, 0.01011840, 0.02043915, 0.41027267, 0.58782498, 0.40076094, 0.24223209
11, 0.01024339, 0.01938980, 0.41428873, 0.60684845, 0.39568802, 0.24032974
12, 0.01036623, 0.01810905, 0.41957303, 0.60494610, 0.40583386, 0.24793912
13, 0.01004543, 0.01816419, 0.41428873, 0.59289791, 0.41090679, 0.23906151
14, 0.00955005, 0.01752723, 0.40456563, 0.59416614, 0.38871275, 0.23081801
15, 0.01004744, 0.01754078, 0.41471148, 0.60684845, 0.40076094, 0.23652505
16, 0.00956170, 0.01850260, 0.41111816, 0.60367787, 0.38871275, 0.24096386
17, 0.00941749, 0.01807960, 0.41090679, 0.58592264, 0.39632213, 0.25047559
18, 0.00945231, 0.01608892, 0.41006130, 0.59226379, 0.40329740, 0.23462270
19, 0.00954257, 0.01826907, 0.40794758, 0.56880152, 0.40393152, 0.25110970
20, 0.00936927, 0.01861410, 0.41069541, 0.56753329, 0.42232086, 0.24223209
21, 0.00904307, 0.01782145, 0.41154090, 0.56055802, 0.40012682, 0.27393786
22, 0.00920918, 0.01523614, 0.40773621, 0.55865568, 0.40329740, 0.26125555
23, 0.00939239, 0.01838584, 0.40984993, 0.56182625, 0.41534559, 0.25237793
24, 0.00887072, 0.01631488, 0.41154090, 0.57006975, 0.41027267, 0.25428028
25, 0.00933453, 0.01683525, 0.41365462, 0.57894737, 0.41090679, 0.25110970
26, 0.00877524, 0.01847218, 0.41428873, 0.56880152, 0.40266328, 0.27140140
27, 0.00878959, 0.01660272, 0.41893891, 0.58338618, 0.40646798, 0.26696259
28, 0.00918475, 0.01695677, 0.41640245, 0.57450856, 0.40519975, 0.26949905
29, 0.00878539, 0.01690906, 0.40773621, 0.56689918, 0.39505390, 0.26125555
30, 0.00921355, 0.01859877, 0.40583386, 0.56182625, 0.39759036, 0.25808497
31, 0.00900744, 0.01634379, 0.41471148, 0.56499683, 0.40963855, 0.26949905
32, 0.00953427, 0.01719486, 0.41069541, 0.56753329, 0.41534559, 0.24920736
33, 0.00914474, 0.01724979, 0.41090679, 0.56119214, 0.41407736, 0.25745086
34, 0.00889237, 0.01633580, 0.41111816, 0.56499683, 0.40202917, 0.26632847
35, 0.00833387, 0.01209333, 0.41957303, 0.56753329, 0.41344325, 0.27774255
36, 0.00894291, 0.01486391, 0.41767068, 0.56499683, 0.41915029, 0.26886493
37, 0.00837190, 0.01457435, 0.41936166, 0.57006975, 0.42041852, 0.26759670
38, 0.00868170, 0.02035654, 0.40625661, 0.56689918, 0.39188332, 0.25998732
39, 0.00847217, 0.01594462, 0.41132953, 0.57070387, 0.39251744, 0.27076728
40, 0.00836098, 0.01879228, 0.41872754, 0.56182625, 0.40202917, 0.29232720
41, 0.00861041, 0.01328326, 0.41302050, 0.56753329, 0.39949271, 0.27203551
42, 0.00835352, 0.01516213, 0.40900444, 0.55548510, 0.40139505, 0.27013316
43, 0.00845059, 0.01370432, 0.41027267, 0.55548510, 0.40519975, 0.27013316
44, 0.00854089, 0.01592348, 0.41893891, 0.57260621, 0.40139505, 0.28281547
45, 0.00831245, 0.01642122, 0.41619108, 0.56943564, 0.40076094, 0.27837666
46, 0.00856399, 0.01492588, 0.42718241, 0.56816741, 0.42802790, 0.28535193
47, 0.00852004, 0.01420751, 0.42210949, 0.56880152, 0.42422321, 0.27330374
48, 0.00834184, 0.01903448, 0.42528007, 0.56753329, 0.43183259, 0.27647432
49, 0.00802039, 0.01412660, 0.42358909, 0.57260621, 0.42105263, 0.27710843
50, 0.00835610, 0.01679473, 0.42506870, 0.57894737, 0.41280913, 0.28344959
51, 0.00808870, 0.01444246, 0.43584866, 0.58275206, 0.42358909, 0.30120482
52, 0.00862535, 0.01581096, 0.43310082, 0.58211795, 0.42866202, 0.28852251
53, 0.00794249, 0.01356540, 0.43140985, 0.57577679, 0.42802790, 0.29042486
54, 0.00795082, 0.01421657, 0.43246671, 0.58528852, 0.42358909, 0.28852251
55, 0.00782120, 0.01349750, 0.43056436, 0.57514268, 0.41407736, 0.30247305
56, 0.00770230, 0.01488636, 0.43669415, 0.56563094, 0.44324667, 0.30120482
57, 0.00818814, 0.01387422, 0.43077573, 0.57260621, 0.43183259, 0.28788840
58, 0.00779990, 0.01416251, 0.43817375, 0.57894737, 0.43944198, 0.29613190
59, 0.00746654, 0.01522305, 0.42929613, 0.57324033, 0.42422321, 0.29042486
60, 0.00769828, 0.01444871, 0.43648277, 0.57577679, 0.43880786, 0.29486367
61, 0.00808248, 0.01461922, 0.43627140, 0.56626506, 0.44007609, 0.30247305
62, 0.00783999, 0.01518638, 0.43479180, 0.56436271, 0.44197844, 0.29803424
63, 0.00765325, 0.01465070, 0.43436906, 0.55675333, 0.43753963, 0.30881420
64, 0.00771225, 0.01212497, 0.43140985, 0.55611921, 0.44007609, 0.29803424
65, 0.00768458, 0.01474371, 0.43500317, 0.55865568, 0.45402663, 0.29232720
66, 0.00751105, 0.01390178, 0.43521454, 0.56563094, 0.44578313, 0.29422955
67, 0.00741674, 0.01245151, 0.43373494, 0.55928979, 0.45212429, 0.28979074
68, 0.00733373, 0.01217613, 0.43648277, 0.56119214, 0.45402663, 0.29422955
69, 0.00761127, 0.01196481, 0.43500317, 0.56563094, 0.44388079, 0.29549778
70, 0.00735530, 0.01083913, 0.44049884, 0.56943564, 0.44958782, 0.30247305
71, 0.00779153, 0.01162435, 0.43415768, 0.57133798, 0.44514902, 0.28598605
72, 0.00741691, 0.01358824, 0.42549144, 0.55485098, 0.44324667, 0.27837666
73, 0.00724238, 0.01171791, 0.43415768, 0.56499683, 0.45212429, 0.28535193
74, 0.00734879, 0.01474159, 0.43711689, 0.56499683, 0.44641725, 0.29993659
75, 0.00805036, 0.01354933, 0.42337772, 0.54343691, 0.43627140, 0.29042486
76, 0.00756565, 0.01326221, 0.42887339, 0.56436271, 0.44071021, 0.28154724
77, 0.00707000, 0.01335174, 0.43056436, 0.55168041, 0.45339252, 0.28662016
78, 0.00718085, 0.01030286, 0.42612555, 0.55485098, 0.43183259, 0.29169309
79, 0.00712406, 0.01206922, 0.43606003, 0.56563094, 0.45022194, 0.29232720
80, 0.00723874, 0.01143293, 0.43436906, 0.56563094, 0.44071021, 0.29676601
81, 0.00723938, 0.01203756, 0.43204397, 0.55294864, 0.44514902, 0.29803424
82, 0.00723536, 0.01519254, 0.43500317, 0.56816741, 0.43817375, 0.29866836
83, 0.00695583, 0.01230222, 0.43796238, 0.55802156, 0.44641725, 0.30944832
84, 0.00692596, 0.01066303, 0.43394631, 0.55041218, 0.44705136, 0.30437540
85, 0.00721283, 0.01243756, 0.43965335, 0.55294864, 0.45275840, 0.31325301
86, 0.00694922, 0.01190800, 0.44366941, 0.55802156, 0.45592898, 0.31705770
87, 0.00715381, 0.01097047, 0.43775100, 0.55738744, 0.43817375, 0.31769182
88, 0.00690819, 0.01289356, 0.43711689, 0.55485098, 0.44705136, 0.30944832
89, 0.00832388, 0.01183119, 0.43859649, 0.54533925, 0.44578313, 0.32466709
90, 0.00751403, 0.01173105, 0.43267808, 0.54026633, 0.42739379, 0.33037413
91, 0.00719347, 0.01279262, 0.43077573, 0.55041218, 0.41344325, 0.32847178
92, 0.00719654, 0.01177879, 0.43944198, 0.55738744, 0.43056436, 0.33037413
93, 0.00700199, 0.01081393, 0.43267808, 0.54724160, 0.42358909, 0.32720355
94, 0.00701360, 0.01060421, 0.43923061, 0.55358275, 0.42232086, 0.34178821
95, 0.00687339, 0.01110912, 0.43331220, 0.54977806, 0.41280913, 0.33734940
96, 0.00676892, 0.00930680, 0.43479180, 0.54914394, 0.42105263, 0.33417882
97, 0.00685629, 0.01167887, 0.43225534, 0.54533925, 0.41407736, 0.33734940
98, 0.00658989, 0.00995924, 0.43246671, 0.54407102, 0.41661382, 0.33671528
99, 0.00724190, 0.01322790, 0.43796238, 0.54977806, 0.42929613, 0.33481294
100, 0.00716792, 0.01137434, 0.44028747, 0.54977806, 0.41724794, 0.35383640
101, 0.00722602, 0.01137077, 0.43901923, 0.54090044, 0.42358909, 0.35256817
102, 0.00708670, 0.01201873, 0.43627140, 0.53963221, 0.42802790, 0.34115409
103, 0.00656771, 0.01136294, 0.44071021, 0.54090044, 0.42739379, 0.35383640
104, 0.00648298, 0.01194569, 0.43394631, 0.53455929, 0.41344325, 0.35383640
105, 0.00692735, 0.01264715, 0.42908476, 0.51997464, 0.39885859, 0.36842105
106, 0.00730841, 0.01053270, 0.42781653, 0.51426760, 0.40837032, 0.36081167
107, 0.00663816, 0.01060125, 0.42929613, 0.52885225, 0.41027267, 0.34876347
108, 0.00646643, 0.01059768, 0.43352357, 0.52948637, 0.42232086, 0.34876347
109, 0.00645891, 0.01009761, 0.42528007, 0.52377933, 0.40710209, 0.34495878
110, 0.00646602, 0.01157196, 0.43119848, 0.52441344, 0.41661382, 0.35256817
111, 0.00642598, 0.01081473, 0.42760516, 0.52187698, 0.40710209, 0.35383640
112, 0.00630540, 0.01054420, 0.43119848, 0.53646164, 0.40900444, 0.34812936
113, 0.00621050, 0.01426989, 0.43563729, 0.52124287, 0.41915029, 0.36651871
114, 0.00615870, 0.01019331, 0.43753963, 0.53265694, 0.41407736, 0.36588459
115, 0.00628196, 0.01186469, 0.43415768, 0.52124287, 0.41154090, 0.36968928
116, 0.00620380, 0.00964312, 0.43901923, 0.52631579, 0.42041852, 0.37032340
117, 0.00617368, 0.01211451, 0.43859649, 0.52251110, 0.41471148, 0.37856690
118, 0.00582274, 0.01244761, 0.43648277, 0.52377933, 0.41978440, 0.36588459
119, 0.00614579, 0.01050269, 0.43796238, 0.52885225, 0.42168675, 0.36334813
120, 0.00601384, 0.01039288, 0.42950750, 0.52251110, 0.40773621, 0.35827521
121, 0.00596224, 0.01024411, 0.43225534, 0.53012048, 0.40837032, 0.35827521
122, 0.00624028, 0.01008282, 0.43373494, 0.53265694, 0.41788205, 0.35066582
123, 0.00631465, 0.01034216, 0.42950750, 0.53202283, 0.40519975, 0.35129994
124, 0.00628256, 0.00906140, 0.43310082, 0.53582752, 0.41978440, 0.34369055
125, 0.00627582, 0.01460880, 0.43500317, 0.52631579, 0.42866202, 0.35003171
126, 0.00606801, 0.00845575, 0.43648277, 0.53646164, 0.42168675, 0.35129994
127, 0.00597640, 0.01037006, 0.43838512, 0.53329106, 0.41724794, 0.36461636
128, 0.00608338, 0.01111468, 0.43183259, 0.54090044, 0.40837032, 0.34622701
129, 0.00583180, 0.01204755, 0.43288945, 0.54280279, 0.41597971, 0.33988586
130, 0.00601728, 0.01198131, 0.43035299, 0.53329106, 0.41217502, 0.34559290
131, 0.00635548, 0.01106413, 0.43204397, 0.54280279, 0.40646798, 0.34686113
132, 0.00595580, 0.01049201, 0.43817375, 0.53836398, 0.42358909, 0.35256817
133, 0.00625467, 0.01039962, 0.44113295, 0.53202283, 0.42549144, 0.36588459
134, 0.00596932, 0.01150751, 0.42485732, 0.50856056, 0.41280913, 0.35320228
135, 0.00618554, 0.00999289, 0.42612555, 0.51616994, 0.41090679, 0.35129994
136, 0.00600996, 0.01080166, 0.43880786, 0.52885225, 0.42612555, 0.36144578
137, 0.00565486, 0.00863951, 0.43500317, 0.51743817, 0.42612555, 0.36144578
138, 0.00612990, 0.01060115, 0.43183259, 0.53075460, 0.41280913, 0.35193405
139, 0.00626243, 0.00872745, 0.44049884, 0.54090044, 0.42358909, 0.35700698
140, 0.00605049, 0.01066356, 0.44240118, 0.53646164, 0.42739379, 0.36334813
141, 0.00569783, 0.01170876, 0.43965335, 0.53772987, 0.42485732, 0.35637286
142, 0.00572227, 0.01088643, 0.43711689, 0.54090044, 0.41534559, 0.35510463
143, 0.00584898, 0.01068151, 0.44176707, 0.54280279, 0.42929613, 0.35320228
144, 0.00545211, 0.00959920, 0.43648277, 0.53075460, 0.42358909, 0.35510463
145, 0.00576033, 0.00947238, 0.44071021, 0.54787571, 0.42041852, 0.35383640
