#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F
1, 0.07478388, 0.04623545, 0.39218456, 0.45903955, 0.40254237, 0.31497175
2, 0.04711374, 0.04067327, 0.38512241, 0.42937853, 0.39689266, 0.32909605
3, 0.03518933, 0.03568930, 0.38559322, 0.43644068, 0.39406780, 0.32627119
4, 0.03062984, 0.03345023, 0.38182674, 0.43220339, 0.38841808, 0.32485876
5, 0.02874288, 0.03223104, 0.37758945, 0.43079096, 0.37429379, 0.32768362
6, 0.02605144, 0.03147990, 0.36911488, 0.42372881, 0.35593220, 0.32768362
7, 0.02440175, 0.02933076, 0.36487759, 0.42514124, 0.34039548, 0.32909605
8, 0.02286871, 0.02783289, 0.37005650, 0.44491525, 0.32627119, 0.33898305
9, 0.02232492, 0.02517017, 0.36629002, 0.43220339, 0.32909605, 0.33757062
10, 0.02071967, 0.02280088, 0.36534840, 0.43502825, 0.32627119, 0.33474576
11, 0.01918480, 0.02416878, 0.36581921, 0.42937853, 0.32909605, 0.33898305
12, 0.01916169, 0.02087020, 0.36817326, 0.43220339, 0.32909605, 0.34322034
13, 0.01815658, 0.02203926, 0.36676083, 0.44067797, 0.31779661, 0.34180791
14, 0.01769283, 0.01953972, 0.35781544, 0.42796610, 0.31779661, 0.32768362
15, 0.01707886, 0.01992325, 0.35546139, 0.41807910, 0.32203390, 0.32627119
16, 0.01700194, 0.01855629, 0.35499058, 0.40819209, 0.32062147, 0.33615819
17, 0.01670444, 0.01848623, 0.35546139, 0.40960452, 0.32909605, 0.32768362
18, 0.01633113, 0.01802124, 0.36299435, 0.41949153, 0.34039548, 0.32909605
19, 0.01590932, 0.01707844, 0.36111111, 0.42090395, 0.33474576, 0.32768362
20, 0.01575262, 0.01828906, 0.35781544, 0.41807910, 0.32627119, 0.32909605
21, 0.01605735, 0.01767452, 0.35969868, 0.42514124, 0.33192090, 0.32203390
22, 0.01570721, 0.01638618, 0.37146893, 0.44067797, 0.35734463, 0.31638418
23, 0.01523401, 0.01702592, 0.36205273, 0.42090395, 0.34887006, 0.31638418
24, 0.01528217, 0.01663535, 0.37476460, 0.44209040, 0.35875706, 0.32344633
25, 0.01516031, 0.01629315, 0.37005650, 0.42514124, 0.36440678, 0.32062147
26, 0.01445183, 0.01534397, 0.36817326, 0.43079096, 0.35875706, 0.31497175
27, 0.01457037, 0.01532638, 0.37429379, 0.44915254, 0.36581921, 0.30790960
28, 0.01441807, 0.01609153, 0.36111111, 0.42372881, 0.34322034, 0.31638418
29, 0.01451248, 0.01500697, 0.37005650, 0.42655367, 0.36016949, 0.32344633
30, 0.01417384, 0.01470370, 0.36676083, 0.42090395, 0.35028249, 0.32909605
31, 0.01385739, 0.01557311, 0.36817326, 0.42372881, 0.35875706, 0.32203390
32, 0.01424391, 0.01486518, 0.36723164, 0.43079096, 0.34604520, 0.32485876
33, 0.01366417, 0.01586353, 0.37382298, 0.42372881, 0.35875706, 0.33898305
34, 0.01391578, 0.01440925, 0.36911488, 0.42231638, 0.35310734, 0.33192090
35, 0.01365318, 0.01359308, 0.36958569, 0.42231638, 0.37429379, 0.31214689
36, 0.01376851, 0.01413429, 0.37241055, 0.43079096, 0.36581921, 0.32062147
37, 0.01316129, 0.01447151, 0.36958569, 0.42796610, 0.35593220, 0.32485876
38, 0.01359229, 0.01437385, 0.36629002, 0.42090395, 0.36440678, 0.31355932
39, 0.01387747, 0.01385677, 0.37193974, 0.42655367, 0.37429379, 0.31497175
40, 0.01372917, 0.01488859, 0.37146893, 0.42937853, 0.36581921, 0.31920904
41, 0.01307628, 0.01474348, 0.37241055, 0.43361582, 0.36299435, 0.32062147
42, 0.01307976, 0.01465883, 0.36299435, 0.41242938, 0.35028249, 0.32627119
43, 0.01421798, 0.01446961, 0.36581921, 0.42937853, 0.36299435, 0.30508475
44, 0.01368795, 0.01419227, 0.36346516, 0.41525424, 0.37005650, 0.30508475
45, 0.01408960, 0.01406288, 0.36629002, 0.43079096, 0.35169492, 0.31638418
46, 0.01403887, 0.01463519, 0.38088512, 0.44209040, 0.37853107, 0.32203390
47, 0.01308898, 0.01426498, 0.37288136, 0.45197740, 0.35451977, 0.31214689
48, 0.01350550, 0.01382574, 0.37806026, 0.44067797, 0.38135593, 0.31214689
49, 0.01301214, 0.01424477, 0.36581921, 0.42514124, 0.37288136, 0.29943503
50, 0.01343988, 0.01494531, 0.36487759, 0.42231638, 0.37005650, 0.30225989
51, 0.01297775, 0.01422208, 0.38041431, 0.44350282, 0.38276836, 0.31497175
52, 0.01318805, 0.01386143, 0.37429379, 0.43926554, 0.37853107, 0.30508475
53, 0.01287251, 0.01567415, 0.37241055, 0.42796610, 0.38841808, 0.30084746
54, 0.01241064, 0.01389266, 0.37523540, 0.43361582, 0.38559322, 0.30649718
55, 0.01277992, 0.01434965, 0.36770245, 0.42514124, 0.37570621, 0.30225989
56, 0.01305100, 0.01408284, 0.36770245, 0.43502825, 0.36158192, 0.30649718
57, 0.01308261, 0.01456353, 0.37193974, 0.43644068, 0.36581921, 0.31355932
58, 0.01243336, 0.01328449, 0.37052731, 0.43361582, 0.37853107, 0.29943503
59, 0.01225438, 0.01344376, 0.36817326, 0.44350282, 0.35593220, 0.30508475
60, 0.01345856, 0.01458026, 0.37241055, 0.45480226, 0.35451977, 0.30790960
61, 0.01280871, 0.01412321, 0.37900188, 0.45621469, 0.36440678, 0.31638418
62, 0.01317794, 0.01439629, 0.37711864, 0.44067797, 0.38700565, 0.30367232
63, 0.01318360, 0.01331800, 0.37476460, 0.43644068, 0.38559322, 0.30225989
64, 0.01300218, 0.01503249, 0.38465160, 0.45762712, 0.38418079, 0.31214689
65, 0.01314954, 0.01466561, 0.38135593, 0.45197740, 0.37711864, 0.31497175
66, 0.01307298, 0.01313162, 0.38465160, 0.45762712, 0.37711864, 0.31920904
67, 0.01214477, 0.01476493, 0.37900188, 0.46610169, 0.37146893, 0.29943503
68, 0.01264024, 0.01381630, 0.37429379, 0.45762712, 0.36440678, 0.30084746
69, 0.01211739, 0.01371118, 0.37664783, 0.45197740, 0.36864407, 0.30932203
70, 0.01162180, 0.01297327, 0.37758945, 0.45338983, 0.37429379, 0.30508475
71, 0.01201759, 0.01413185, 0.38135593, 0.47175141, 0.36723164, 0.30508475
72, 0.01221020, 0.01301672, 0.39124294, 0.47598870, 0.38841808, 0.30932203
73, 0.01336585, 0.01382227, 0.38606403, 0.46186441, 0.38841808, 0.30790960
74, 0.01258399, 0.01411119, 0.37994350, 0.46610169, 0.36723164, 0.30649718
75, 0.01261415, 0.01602066, 0.38041431, 0.45621469, 0.37146893, 0.31355932
76, 0.01225140, 0.01551993, 0.38794727, 0.46468927, 0.37853107, 0.32062147
77, 0.01198490, 0.01344949, 0.38465160, 0.47740113, 0.36158192, 0.31497175
78, 0.01228152, 0.01324353, 0.38418079, 0.48163842, 0.36016949, 0.31073446
79, 0.01207659, 0.01505780, 0.38370998, 0.47316384, 0.36016949, 0.31779661
80, 0.01200368, 0.01461618, 0.38794727, 0.47175141, 0.37429379, 0.31779661
81, 0.01208646, 0.01389354, 0.38088512, 0.48163842, 0.35169492, 0.30932203
82, 0.01245834, 0.01300269, 0.37758945, 0.47457627, 0.34745763, 0.31073446
83, 0.01152325, 0.01580188, 0.38182674, 0.47316384, 0.35028249, 0.32203390
84, 0.01237259, 0.01356142, 0.37853107, 0.46892655, 0.35593220, 0.31073446
85, 0.01339327, 0.01438396, 0.38135593, 0.47033898, 0.35451977, 0.31920904
86, 0.01285861, 0.01276616, 0.37241055, 0.46327684, 0.35451977, 0.29943503
87, 0.01232336, 0.01278249, 0.38088512, 0.46468927, 0.37288136, 0.30508475
88, 0.01176706, 0.01369622, 0.37758945, 0.46892655, 0.36440678, 0.29943503
89, 0.01348219, 0.01446398, 0.37711864, 0.46186441, 0.36440678, 0.30508475
90, 0.01276083, 0.01349941, 0.38135593, 0.45903955, 0.36299435, 0.32203390
91, 0.01283522, 0.01241019, 0.37429379, 0.45621469, 0.36299435, 0.30367232
92, 0.01213635, 0.01415342, 0.37476460, 0.44632768, 0.36723164, 0.31073446
93, 0.01273947, 0.01330605, 0.37711864, 0.45480226, 0.36299435, 0.31355932
94, 0.01287003, 0.01523482, 0.38323917, 0.45056497, 0.37994350, 0.31920904
95, 0.01284290, 0.01436746, 0.38276836, 0.45903955, 0.37288136, 0.31638418
96, 0.01291543, 0.01280401, 0.38229755, 0.45197740, 0.38135593, 0.31355932
97, 0.01168712, 0.01506232, 0.38135593, 0.44067797, 0.39265537, 0.31073446
98, 0.01256143, 0.01369026, 0.38182674, 0.44632768, 0.38418079, 0.31497175
99, 0.01287597, 0.01256957, 0.38559322, 0.45480226, 0.38418079, 0.31779661
100, 0.01213813, 0.01479310, 0.38182674, 0.45197740, 0.37853107, 0.31497175
101, 0.01213778, 0.01244156, 0.38465160, 0.45903955, 0.37994350, 0.31497175
102, 0.01224418, 0.01413006, 0.38088512, 0.45903955, 0.37853107, 0.30508475
103, 0.01143871, 0.01472465, 0.38700565, 0.46610169, 0.37994350, 0.31497175
104, 0.01191621, 0.01310133, 0.38041431, 0.45480226, 0.37711864, 0.30932203
105, 0.01201254, 0.01372182, 0.37099812, 0.45338983, 0.36440678, 0.29519774
106, 0.01186966, 0.01268623, 0.37758945, 0.45762712, 0.36581921, 0.30932203
107, 0.01169998, 0.01560277, 0.37523540, 0.45338983, 0.37146893, 0.30084746
108, 0.01198111, 0.01475703, 0.37853107, 0.46186441, 0.35734463, 0.31638418
109, 0.01260306, 0.01252310, 0.36629002, 0.43220339, 0.35734463, 0.30932203
110, 0.01165149, 0.01330622, 0.37005650, 0.44209040, 0.35875706, 0.30932203
111, 0.01280920, 0.01321197, 0.38276836, 0.46468927, 0.35593220, 0.32768362
112, 0.01139479, 0.01354747, 0.37429379, 0.45621469, 0.35169492, 0.31497175
113, 0.01153351, 0.01235920, 0.37523540, 0.46327684, 0.34039548, 0.32203390
114, 0.01192983, 0.01235558, 0.37052731, 0.46045198, 0.33050847, 0.32062147
115, 0.01156130, 0.01342757, 0.38229755, 0.46468927, 0.35734463, 0.32485876
