accuracy	true_label	vote_label	correct_vote
0.7804878048780488	1	1	True
0.6923076923076923	1	1	True
0.5	1	1	True
0.7457627118644068	1	1	True
0.6938775510204082	1	1	True
0.7	1	1	True
0.6666666666666666	1	1	True
0.5957446808510638	1	1	True
0.7288135593220338	1	1	True
0.7727272727272727	1	1	True
0.7674418604651163	1	1	True
0.8333333333333334	1	1	True
0.9130434782608695	1	1	True
0.813953488372093	1	1	True
0.8333333333333334	1	1	True
0.8148148148148148	1	1	True
0.7142857142857143	1	1	True
0.7428571428571429	1	1	True
0.6888888888888889	1	1	True
0.96	0	0	True
0.9019607843137255	0	0	True
0.9166666666666666	0	0	True
0.803921568627451	0	0	True
0.4489795918367347	0	0	True
0.42028985507246375	0	0	True
0.8260869565217391	0	0	True
0.9090909090909091	0	0	True
0.5849056603773585	0	0	True
0.8235294117647058	0	0	True
0.78	0	0	True
0.9636363636363636	0	0	True
0.9512195121951219	0	0	True
0.9152542372881356	0	0	True
0.7333333333333333	0	0	True
0.4	1	0	False
0.8913043478260869	0	0	True
0.38596491228070173	0	0	True
0.8867924528301887	0	0	True
1.0	0	0	True
0.6551724137931034	2	2	True
0.7384615384615385	2	2	True
0.9206349206349206	2	2	True
0.7692307692307693	1	1	True
0.8	2	2	True
0.7727272727272727	2	2	True
0.7663551401869159	2	2	True
0.922077922077922	2	2	True
0.7142857142857143	2	2	True
0.6739130434782609	1	1	True
0.825	2	2	True
0.6823529411764706	2	2	True
0.7692307692307693	2	2	True
0.7627118644067796	2	2	True
0.96875	2	2	True
0.5662650602409639	2	2	True
0.7222222222222222	1	1	True
